Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,North Beach
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Cedar Park,Jane Addams"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Pathfinder
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles, Greater than 5 miles","Pathfinder,UGH"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Orca K8
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"1 to 3 miles, 3 to 5 miles","Ballard,McClure"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Concord
Yes,No,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Kimball
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Arbor Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Wedgewood
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles",Lincoln
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Center School
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cascadia
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,Less than 1 mile,"Hamilton,Lincoln,McDonald"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,John Stanford
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Hamilton
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Thurgood Marshall
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Queen Anne Elementary
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,Less than 1 mile,"Adams,Salmon Bay"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Decatur,Wedgewood"
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,"Highland Park,UGH"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Lincoln,Salmon Bay"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,"Cascadia,John Hay"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic View
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lawton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Magnolia
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Lafayette
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Alki
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,"Hamilton,John Stanford"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,New Queen Anne Route
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Louisa Boren K8
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greenwood
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Pathfinder
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,1 to 3 miles,Thurgood Marshall
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles",Greek Lake
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Greek Lake
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Greek Lake
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Lawton
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Greek Lake
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,1 to 3 miles,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Coe
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Eckstein,Greek Lake"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Hamilton,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Catharine Blaine
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Eckstein,Roosevelt,View Ridge"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, Greater than 5 miles",Concord
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Pathfinder
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles","Greek Lake,Jane Addams"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Daniel Bagley
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Greek Lake
Yes,No,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Pathfinder
Yes,Yes,"Bus route consistently on-time, Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,3 to 5 miles,"Cleveland,Thurgood Marshall"
